duration,src_bytes,dst_bytes,packets,protocol,flags,connections_last_min,label
2.4042086039659947,321,245,9,0,6,2,0
2.3361896558244535,288,254,9,0,6,3,1
2.384760999874255,294,246,10,0,2,1,0
0.2797942898515832,290,253,8,0,2,1,0
0.08643739969837702,295,289,8,0,3,3,0
1.4526605157061507,309,230,13,0,1,3,0
1.4099606942575735,309,269,8,0,3,0,0
3.1242959565494974,293,225,14,0,2,1,1
0.0792941971835091,311,248,6,0,0,2,0
1.0465608465431644,293,261,9,0,5,4,1
0.07043630679780821,505,252,13,0,6,1,0
1.0890236280239596,326,248,14,1,2,1,1
1.731327352883808,277,231,12,0,3,2,0
0.3868948245899113,313,219,6,0,3,2,0
1.2315856626615727,305,241,12,0,0,4,0
0.1537732538262267,292,264,8,1,4,2,0
0.09157726739019154,1287,266,23,0,3,1,0
0.31517920213239287,282,270,12,0,7,0,0
0.901199275370158,288,239,7,0,2,2,0
0.4129853297384894,275,268,9,0,6,1,0
1.2473859498136242,288,249,13,0,3,2,1
0.22357637221232038,288,255,14,1,1,1,0
1.8379702641444624,294,237,11,0,2,2,1
1.2270858632142592,292,255,7,1,7,3,1
0.6557961539630006,272,240,9,1,2,0,1
0.41708670631181666,283,222,13,1,6,3,1
0.45331968929826566,300,256,11,1,5,3,0
0.07707714705565474,290,250,7,0,5,2,0
0.17963225437455377,314,253,8,0,6,1,0
0.6853204516042503,326,265,7,0,4,1,0
0.3886802361598213,314,258,10,0,4,3,1
1.2642068575651064,290,268,10,0,0,1,0
0.7084906274161253,314,242,10,1,5,1,0
0.23792995429801636,308,255,14,0,5,1,0
0.4610883362574712,314,262,11,0,0,0,0
0.6415567371905141,305,222,11,0,4,1,0
0.34383336143779325,273,272,9,0,4,2,0
0.3219112209063105,296,261,11,0,2,4,0
0.8789146821925446,297,248,14,0,0,3,0
0.29694720892879944,295,238,6,0,0,1,1
1.3337024250318834,324,259,9,0,1,3,1
1.3908639862459073,1237,244,15,1,1,2,0
1.0840829279651931,291,261,7,0,1,3,0
0.07302834798043581,296,264,6,0,4,1,0
1.1340675017227546,300,228,11,0,3,2,0
1.3543379878651725,292,259,13,0,0,1,0
1.1220396514574276,296,234,14,0,0,1,0
0.2800491202364232,319,257,8,0,5,3,0
0.3209361910360324,301,251,12,0,7,0,0
0.1657359073015982,318,236,8,0,6,0,1
0.35436351269146177,276,236,8,0,6,1,0
0.02113975640978781,311,237,11,0,2,0,0
0.16735639611571346,305,206,12,0,5,2,1
